0.00474462-0.0321018j 0.0244167+0.0515372j 0.0100404+0.0547566j -0.0140447-0.0124472j -0.00477186-0.0218243j -0.00228125+0.00413358j -0.00753677+0.0441093j -0.0100022+0.0376849j -0.00228569+0.0285319j -0.00759087+0.0033383j -0.000165067+0.0192465j 0.00174093+0.0038501j 0.0137374-0.0259901j -0.0401826+0.0466307j -0.00229816-0.0167394j -0.00741117+0.0211458j -0.0173956+0.0320827j -0.0148817+0.0123968j 0.00903567-0.0150079j -0.0366907-0.00532767j -0.0186942-0.0115229j -0.00156777-0.0194236j 0.0227447-0.0100333j 0.010569+0.0113035j -0.0286371-0.000322318j -0.0206081+0.0185528j -0.00453802+0.00547289j -0.0104005-0.00645592j -0.0245912-0.00614673j 0.0240133-0.0149317j -0.00555743-0.00967677j 0.00158109+0.0229811j 0.0277922-0.00651159j -0.010465-0.0153711j 0.00950599-0.0118003j -0.00172563+0.0194167j 0.0117104-0.0112646j -0.00305744+0.0190858j -0.0360143+0.021009j -0.00206701-0.000615275j -0.00248978+0.0120827j 0.0101249+0.0092135j 0.0200215+0.001615j 0.00964036+0.00730212j 0.00358261+0.00502519j -0.00127057-0.0106161j -0.00966344-0.00693665j -0.0028154+0.00684248j 0.00654454-0.000123904j -0.0119984+0.0055224j -0.0135492-0.0155923j -0.0156218-0.00186815j 0.0366897-0.0105205j 0.00273829+0.0198517j 0.0165425-0.0107642j 0.0189364-0.00364648j 0.0125569-0.030512j -0.0128366+0.00109651j -0.0373252-0.00474922j -0.00465638+0.0208237j 0.00994492-0.00863583j -0.0108733+0.0340655j 0.0179958-0.00792095j 0.0152404-0.0295249j 0.00354052+0.0365927j 0.0304324-0.00931714j -0.010116-0.0069399j -0.000493266-0.0330813j -0.0121331+0.00889269j 0.00720986-0.0135537j 0.00135875-0.0155921j 0.0549504-0.0803291j -0.0330494+0.0333615j -0.0638763+0.0105923j -0.0275833+0.0334983j -0.0524969+0.0794446j -0.0369986+0.0148683j 0.0924243-0.0876599j 0.0227487+0.00442675j 0.0150623-0.0380256j 0.0593223-0.0826085j 0.015837-0.0139312j -0.0947696+0.064973j -0.0255085+0.0106086j 0.00954744+0.00905887j -0.0173653-0.00221049j 0.0471574-0.0359867j 0.0242736-0.0382137j 0.00790085-0.0363823j 0.0187231-0.0292861j 0.015802-0.0362506j -0.0479011+0.0577823j 0.0456794-0.04859j -0.0926563+0.20262j -0.183438+0.120629j 
-0.00921287+0.0341981j -0.0269629-0.0455427j -0.00701404+0.039191j 0.0104984+0.0469422j 0.0135295-0.0191965j -0.0244888-0.00444392j -0.0898383-0.0136847j 0.0823021-0.0129032j -0.0458198+0.129816j -0.0224735+0.0964355j 0.0102003+0.0215225j 0.00786745+0.0172852j -0.0295748-0.00572096j 0.0937713+0.0352198j 0.0451308-0.00547777j -0.0469216-0.00776459j 0.000991855+0.0453414j -0.0279146+0.00931325j -0.0315621+0.0656453j -0.0144279+0.0783056j 0.0407727+0.00724419j 0.00658044-0.0120895j -0.0327887+0.0331676j 0.016728+0.0200013j -0.00852015-0.0992432j 0.0360445+0.0487189j -0.0011496+0.00730077j 0.00217587-0.0242122j -0.00157014+0.00658973j 0.0377444+0.0857367j 0.0242951+0.00925791j -0.037335+0.0786076j -0.0446362-0.0603735j -0.0587786+0.0855054j 0.0228093-0.0247719j -0.0424028+0.0596088j 0.0316311-0.0429008j 0.0601316-0.013947j 0.0303863-0.0468062j -0.0230244-0.0371203j -0.0200053+0.0311895j 0.0314053-0.0170451j -0.0211064-0.0153712j 0.0565108-0.0318411j 0.0376639+0.0570451j -0.00724587-0.0225871j 0.00400554+0.00290069j 0.045211-0.0412671j -0.0232533-0.00281503j -0.0385641-0.0209284j 0.0302223+0.0355307j -0.00226291-0.0620512j 0.095394+0.00159156j -0.0139166-0.0256217j -0.0484356+0.0228366j -0.0206338+0.0291233j -0.0371418+0.011933j 0.00263301+0.0122343j -0.0473739-0.019389j -0.00576824+0.0101325j 0.0307497-0.00328525j 0.00319541+0.00536905j 0.00449998-0.00282546j 0.00863516+0.0609637j -0.046961+0.0184132j -0.0238396-0.0241939j 0.0148867+0.0217998j -0.00430656-0.00853281j -0.0216098-0.0152273j 0.0383184-0.00642883j 0.0313153-0.0220913j 0.0459756-0.0107501j 0.00544122+0.00648714j 0.00501916+0.0208718j 0.00171213-0.0279798j -0.0164807-0.0288177j 0.0166529+0.0195913j -0.00734772-0.0294607j 0.0108248+0.0190302j 0.0143854+0.0105114j 0.0229074-0.0236456j -0.0228434-0.0188952j -0.00867066+0.0174769j 0.00677822-0.000133758j 0.0301023-0.023847j -0.0196144+0.0094109j -0.00669073-0.0194316j -0.00634463+0.00539381j 0.0129608+0.041821j 0.00807532+0.0139826j 0.00799621-0.00940554j -0.0237668-0.0360786j 0.00459564+0.0357273j -0.0288271-0.00553327j -0.00553257+0.0376462j 
0.0459156+0.0365751j 0.0173521+0.0869822j 0.0093173+0.0534161j -0.0109851-0.0257541j 0.0135508+0.00285875j 0.00158915+0.0273857j 0.0226372-0.00886324j -0.0364356+0.119532j -0.0708637-0.00483185j -0.017929-0.00856839j 0.0263909-0.00523954j 0.0568308+0.0299081j 0.0983103-0.0115958j -0.0287634+0.0621624j -0.00182002+0.0150511j 0.0262078-0.0243833j 0.0117113-0.0113421j -0.0404102-0.0343451j -0.0548951-0.0244121j -0.0425995-0.0312407j -0.00282407+0.00657159j -0.0596214-0.0159952j -0.0338968+0.00263494j 0.0218194+0.0227372j 0.0233519+0.0263091j -0.0422006+0.0319193j -0.0143736-0.0109945j -0.0429021-0.0295279j -0.0163375+0.0194063j -0.052411+0.0414881j 0.028002+0.027128j 0.0521027+0.0416654j -0.0567433-0.0695946j -0.0627224-0.0978324j 0.0648001+0.00891345j -0.0419999-0.0272005j -0.0141689-0.0169547j -0.0201598+0.0204589j 0.00492597+0.0358489j 0.0153746-0.0318243j 0.00694929+0.0132385j -0.00945863+0.0121071j 0.0122034+0.0145085j -0.0030021+0.034325j -0.033504-0.00776616j 0.0464884-0.0303246j -0.0279689+0.0104152j 0.0069618+0.0727891j -0.0254238+0.0638484j 0.0378146+0.0151643j -0.00522568-0.0482062j 0.0131546-0.0234042j -0.02064-0.00320311j -0.0326673+0.0703055j 0.000890205-0.0139393j 0.0139286+0.0140675j 0.0448827-0.0256405j -0.000476217+0.000277458j 0.00612843-0.0311741j -0.0321445+0.0421898j -0.00684223-0.0244633j 0.0353255+0.0560961j -0.0437199-0.0353154j 0.0418571-0.0239297j 0.0203073-0.00413382j -0.0122537-0.0148821j -0.00321273+0.00943279j -0.00465712-0.0200877j -0.0134991-0.0225475j -0.0439102-0.000498462j 0.0365563+0.0234538j 0.0323773+0.00735157j -0.0261984+0.0258698j 0.018947-0.0216221j 0.00385754+0.00824995j 0.00129032+0.0444923j 0.0107562-0.0121529j -0.00327633-0.0295862j 0.000384389+0.0458884j -0.0103353-0.0261896j 0.0270473-0.0255345j 0.0276645-0.00776694j -0.00217693+0.0102528j -0.00260963+0.0118625j 0.00989071-0.00789492j 0.0299887-0.0092914j 0.0252231-0.00180378j -0.00923489-0.00961951j -0.0106118-0.00826336j 0.0044604+0.012459j 0.00407948-0.0156942j 0.00799119+0.00242595j -0.0156194-0.030078j -0.0244901+0.0695601j 0.00437225+0.0289587j 
0.0679096+0.0593877j -0.0590092+0.0110469j 0.0465876-0.0536368j 0.017112+0.00641361j 0.0175569-0.0211597j 0.0273915+0.0642996j 0.0444659-0.0242584j 0.00101642+0.140148j -0.145682-0.00734641j -0.0995639-0.0452057j -0.010867+0.0215936j 0.00469617-0.00792613j 0.00540155-0.0697405j -0.039834+0.0397268j 0.0629965+0.000388414j 0.0618797-0.0264966j 0.0246368+0.0124078j -0.0211548-0.0590469j -0.0249843-0.0283433j -0.00666097-0.0639138j 0.011144+0.0300295j -0.00374972+0.0259306j -0.0557355-0.00824606j -0.0282046+0.0105762j 0.0350855+0.0549162j -0.0839838+0.0521369j -0.0383449-0.0647387j -0.0335232+0.00188041j -0.0561574-0.0616406j -0.0917015+0.0100833j 0.0424986+0.0687141j 0.0168317-0.0157708j -0.00384096-0.0984473j -0.0433787-0.0712516j 0.052265+0.0270755j -0.0113872-0.0304151j 0.0421816+0.0525571j 0.0362288+0.072611j -0.00214284+0.0300296j 0.0569097-0.000333582j -0.0213223+0.0139211j 0.00605594+0.0181962j 0.0854057-0.0118709j 0.0269844+0.0323773j 0.0400009+0.0541019j 0.0446339-0.0289997j -0.0212381-0.0108874j 0.0278984+0.0740062j -0.0249143+0.00419913j 0.0551444-0.0319208j 0.0244717+0.0181445j -0.00130617-0.0154662j 0.00233242+0.0277905j -0.0033338+0.0177616j -0.0817407-0.00242917j -0.00454065-0.0261989j 0.0111342+0.0154989j -0.00713095+0.0357955j 0.0266482-0.0258951j 0.0295098+0.0401288j -0.0237549+0.0217112j 0.0295723+0.0162567j 0.0684538-0.0212814j -0.0429408+0.019759j -0.0326242-0.0470855j 0.00115957+0.000558912j 0.00846817+0.0236139j 0.0341067+0.00618464j -0.0147203-0.0200567j 0.00180236-0.0215768j 0.0407991+0.0254925j 0.0046627+0.0185599j -0.0317729+0.0183274j -0.0257753+0.0105829j 0.00980147+0.00223584j 0.0187605-0.028937j -0.0108901+0.0102394j -0.0090468-0.0522037j -0.0170313+0.0176082j -0.0105086+0.00329815j -0.0128196+0.000110069j 0.0308508-0.00751333j -0.0283038-0.0251681j 0.0311982+0.0209658j -0.00398151-0.00546595j -0.0213946-0.0107242j 0.052324+0.0262812j -0.0213856+0.0158558j 0.00659793-0.0116388j 0.000650475+0.00391476j 0.00415881+0.00893328j -0.0412983-0.0285649j -0.0288701-0.0330335j 0.018848-0.00370001j -0.00860352+0.0200026j 
-0.0429844+0.00774191j -0.0300232-0.0114126j 0.0676246-0.0389124j -0.0158387+0.000420182j -0.0233875-0.0904828j 0.0133959-0.0284849j 0.0304441-0.0618905j 0.0950647+0.00384081j 0.00213087+0.144937j -0.0318427+0.0662564j 0.0284688+0.00947814j 0.0167998-0.055203j -0.0145716-0.0312956j 0.0603563+0.0328545j -0.035059-0.050686j -0.0391353-0.0830216j 0.054425-0.0285067j -0.0461967+0.00773587j -0.0269906+0.01869j -0.0468355-0.00769454j -0.00165076-0.00817556j -0.00692626+0.0193186j -0.0309429+0.0627508j 0.0183941+0.0255298j 0.0219721-0.0276666j 0.032143+0.0777691j -0.000198634-0.0034202j 0.0694559+0.0009512j -0.0392229-0.0146565j 0.00330403+0.072222j 0.0826559-0.0452179j -0.00167551-0.0510526j -0.135565-0.0258769j -0.059823+0.0406014j -0.0189031-0.0389541j -0.0499508+0.0787097j -0.00929213-0.0797209j -0.00619835+0.000723085j 0.00820406-0.0260897j 0.0327089-0.0595195j 0.0445908-0.0111715j -0.016902+0.0349716j -0.0441939-0.0688502j 0.00267414+0.00421762j 0.00983035+0.0167149j 0.0255495-0.0181471j 0.0235467-0.0195649j 0.00646158-0.0090876j -0.0016643+0.00407692j -0.00593492-0.0588083j -0.00480706+0.017868j -0.0307632-0.0074542j 0.0161438+0.0241864j 0.052542-0.00196996j 0.017379+0.0288476j 0.012881-0.00605954j -0.00615548-0.0261826j -0.0129935+0.0316089j -0.00717941-0.0412956j 0.0190454-0.00407836j 0.0462498+0.0265727j -0.0118437-0.00763796j -0.0748491-0.0239335j 0.0376492+0.0584207j 0.0338406+0.0173681j -0.0188141+0.00279594j -0.0432136+0.0118815j -0.0165267+0.00157356j 0.0167978+0.0137739j -0.0413585+0.0201835j 0.0140477-0.0485964j 0.0359598-0.00591929j 0.0249843+0.0140458j -0.0133034+0.0247823j -0.0172641+0.00273086j -0.00639951-0.0321538j 0.0274988-0.000695001j -0.00566115-0.0146703j 0.0184763-0.010087j -0.0367399+0.0285932j -0.0112483-0.0274883j 0.0301197-0.0422369j 0.0455686+0.0164393j 0.037809+0.0101106j -0.0234415+0.0043853j 0.012517+0.00246707j 0.025121-0.0168205j 0.0225842+0.00629221j 0.00308137+0.0136266j 0.00988321-0.00205167j -0.00963224-0.020696j 0.0160722-0.0100817j 0.0237823+0.0318044j 0.0105039-0.0147489j 0.00492256+0.0336363j 
-0.00258006+0.0630446j 0.0322911-0.0429993j -0.0486968-0.0968921j -0.159993-0.0493427j -0.0239503+0.00527473j -0.00810732-0.0460089j 0.0154618-0.0999632j 0.0103373+0.00652429j 0.0430059-0.0227851j -0.111158+0.0336966j -0.0101545-0.0495347j 0.0279743-0.0424441j -0.0401448+0.0120462j -0.105759-0.0394824j -0.00932783+0.0202074j 0.00874826-0.0738125j -0.012602-0.0619291j -0.0442636-0.0464065j 0.0360334-0.0122936j -0.0855556+0.00910891j -0.0422703+0.0153625j 0.0340679+0.0114416j 0.0346822+0.00864167j -0.0128915-0.0887201j 0.0303403+0.0748976j -0.0543201+0.0445427j -0.0406403-0.0223123j 0.0307806+0.00798618j -0.0961969+0.0240686j 0.00754123+0.0255064j -0.0313455-0.0407783j -0.0464311-0.0284049j 0.0858497-0.00315676j -0.0388742+0.015424j 0.0144264-0.00680238j 0.0481843+0.035339j 0.0203425-0.0313449j 0.027096+0.0149859j -0.0313396+0.0137628j 0.00168524-0.0447956j -0.0593969-0.00366136j -0.0352942-0.0154832j 0.0243702-0.0351328j -0.000834282+0.00257383j 0.0196255+0.00368234j 0.0114477-0.0193788j -0.00561917-0.0112635j -0.024798-0.00714938j 0.00532692+0.013846j -0.00671287-0.00935207j -0.0231254+0.0121376j -0.0366029+0.0187091j 0.0373236+0.00822484j 0.0136402+0.013057j -0.0131747+0.00167418j 0.0303435-0.0571751j 0.00789458+0.00304098j 0.026201+0.0231453j -0.0087487+0.0405034j 0.00415031+0.0301099j 0.0260064+0.02185j -0.0180147-0.0117266j -0.00377181-0.00805258j -0.00669843+0.023868j 0.00612199-0.0450169j -0.00855813+0.0116956j -0.00463403+0.00549764j 0.0167414+0.0322208j 0.0077085+0.00598403j -0.0144334-0.000486687j 0.0223986+0.00538916j 0.0136766+0.00277253j 0.0201001-0.0150446j -0.0261913+0.0297098j -0.000875276-0.00427185j 0.0002647-0.000911504j -0.00565034-0.0130267j -0.0139447+0.00864318j -0.0108389-0.0170858j -0.0244384+0.00777237j 0.0186025+0.0233652j 0.00309627-0.0253427j -0.017355-0.00393976j -0.0358568-0.0213027j 0.0121233+0.0268352j 0.000582456+0.0117087j -0.0131117+0.0234068j 0.0493765+0.0352715j -0.0221279-0.00878102j -0.0146591-0.025321j 0.00367291+0.0259041j 0.00231023+0.000401075j -0.0176735-0.0242068j -0.00228829-0.0583653j -0.00731513+0.00440209j 
-0.0255343-0.0656384j -0.053197-0.0514681j -0.0800975-0.0862088j -0.0753267+0.0915431j 0.026687+0.00117901j -0.00559815-0.0190995j -0.0869151-0.0903591j -0.00835403+0.00297282j -0.06056-0.0600108j -0.0829087+0.0621453j -0.0486932-0.0268553j -0.0340789-0.0475019j -0.0750881-0.0100138j -0.0763619+0.0212923j 0.0420067+0.0210811j 0.00429503-0.0126994j -0.0357013-0.0370146j 0.00717953+0.0221986j 0.0416495+0.0142293j -0.0279753+0.0609177j 0.0293882+0.0772407j 0.0736776+0.0239809j 0.0122453-0.0106067j -0.126412-0.0180383j 0.108748+0.0512929j -0.0192776+0.0254452j -0.0565403+0.0124633j 0.0348833-0.0166785j 0.00598971+0.0703132j 0.0270245+0.0292279j -0.02209-0.0333913j -0.0669306-0.0526978j 0.0612607-0.0297202j 0.0158212+0.00171051j -0.0136795-0.00291536j 0.0301114-0.0396224j 0.0391718+0.0249563j -0.0117823-0.00039629j -0.0268952+0.00240953j -0.00420926-0.0135164j -0.0415278-0.00756288j -0.0275857+0.00467784j 0.0300675-0.0380851j -0.0112271-0.0291468j 0.0269015-0.0113437j -0.0293289-0.0176285j 0.022578-0.0119382j -0.0159485-0.0153081j 0.0109136+0.00679763j -0.00266531-0.0388533j -0.000390286+0.0514348j -0.0342502+0.0247608j -0.0125204-0.0154013j -0.00692781-0.0278401j -0.0170814-0.0112581j 0.00171136-0.0408111j 0.0207109+0.0382172j 0.0388655+0.0149701j 0.0147882+0.0255726j 0.0203372+0.000159887j -0.0186148-0.00907458j -0.0202408-0.011593j 0.0308232+0.0424694j -0.0200719-0.0137553j -0.0379857-0.0592987j -0.0187922-0.00452266j 0.00630583+0.0123091j 0.0392429+0.00251171j 0.0173937-0.00256164j 0.0145705+0.017446j 0.00767113-0.00854598j 0.0259635+0.0258684j 0.0234418-0.0171708j -0.0378414-0.0242035j 0.0184361-0.0104159j 0.0126711-0.00456571j -0.0205432-0.0166266j 0.0319012+0.0631015j -0.0045803-0.0157413j 0.00308051+0.0225229j -0.0142899-0.0330986j 0.0313946+0.0184326j -0.0424838-0.0408712j -0.0270437-0.0105006j -0.00833898+0.0132456j -0.00560492-0.00284151j -0.0198102-0.0166696j 0.0470879+0.0139365j 0.00983404+0.0320188j 0.0061794+0.0265292j 0.0195927+0.0274354j 0.00692334+3.56184e-06j 0.00297069-0.0145404j 0.008975-0.0164383j -0.0364612-0.0820655j 
-0.00140578-0.0034007j 0.105689+0.0585327j -0.10611+0.0400417j 0.0350293+0.167325j -0.0321333+0.0124213j -0.0260457-0.0124571j -0.0953852+0.0847842j 0.0431894-0.0546523j -0.088025-0.0492715j 0.0369289+0.140945j -0.0609527+0.0285732j -0.0832731-0.00127179j -0.00815288+0.0778852j -0.0329322+0.0597831j -0.103783+0.0053744j -0.000209088+0.0313192j -0.0420929+0.0222705j 0.0287641+0.0419505j -0.0115055-0.0361458j -0.0331808+0.104699j 0.0609069+0.0459628j -0.0412291-0.093799j -0.00714698-0.0454584j -0.00694679+0.0685313j 0.136508-0.0993081j 0.0223672-0.00529001j -0.0300264+0.0886531j -0.0459874-0.0292043j 0.0348936+0.0607548j 0.00466003-0.0284335j -0.05334-0.00650011j -0.00747575+0.0552409j -0.0749285-0.0769108j -0.0345673+0.0200673j -0.00899863-0.0318889j -0.00798496-0.0430506j -0.00878515-0.0231673j 0.0189067-0.0242168j 0.0244205+0.000779123j -0.0188853-0.00992422j 0.0201312+0.0511129j 0.0167982+0.0264549j -0.0252676-0.0127405j -0.0290516-0.0204448j 0.00142567-0.0524925j -0.0195563-0.00669085j -0.0184699+0.00868649j 0.00417099+0.00648091j -0.0134713-0.0306478j -0.00905924-0.0264579j 0.0472403+0.0137482j 0.0121297+0.0334585j -0.0196782-0.0796112j 0.0261819-0.00163015j -0.0238103+0.0149451j -0.0535245-0.0357307j 0.0479682+0.0393832j 0.0149315-0.0354703j 0.0341609+0.0312109j 0.0276282-0.0141385j -0.0255427-0.0282695j -0.0342661+0.0242265j 0.0357543-0.0071029j -0.0165173-0.0477642j -0.0364972+0.0128558j 0.00162329+0.0218503j 0.0298064-0.0263926j -0.0066761-0.0200392j -0.0244354-0.0238038j 0.0229432-0.0343682j 0.0266702+0.0101385j 0.00043257-0.0289654j -0.00928979-0.0302918j -0.0318585-0.0119834j 0.0133659+0.010417j 0.00276342+0.028496j -0.0247442-0.000264272j -0.00928613+0.011363j -0.0243101-0.0153725j -0.0173839-0.0172502j -0.0473844-0.037591j -0.0357062+0.0299746j 0.00366755+0.00455786j 0.0157786+0.0266506j 0.0355637+0.00687849j -0.02316-0.00218849j -0.0313928+0.0244993j 0.0238714-0.0217617j 0.0171295-0.0193181j 0.0117885+0.0145224j 0.0040977-0.00478827j -0.0331409+0.0209679j -0.0780222-0.0420401j 0.024408+0.0519962j -7.21045e-05-0.0248833j 
0.120333+0.0204936j -0.0125054-0.0842089j -0.00476452+0.0126164j 0.0910155-0.00968184j 0.00430318+0.0176204j -0.0585858+0.0438383j 0.00394961+0.115535j 0.00558536+0.0108427j -0.00144595+0.0223172j 0.0253844-0.00861287j 0.00155261+0.0277986j 0.0418273+0.0524543j 0.0801164-0.00631399j -0.0149625-0.013126j -0.0138988+0.0617839j -0.0103505+0.00101538j -0.0143509+0.0478868j -0.103328-0.0111445j -0.03811+0.0272201j 0.0638744+0.0478047j 0.0371463-0.0152302j -0.0851491+0.0577347j -0.0188023-0.0109594j 0.025219+0.0221876j -0.05037-0.060137j 0.00471625-0.0419617j 0.0364936-0.00291807j -0.0248442+0.0356693j -0.0176995-0.0324468j -0.0135437-0.00773887j 0.00274489+0.0175342j -0.0301117+0.0176003j -0.0157263+0.0313407j -0.0362836+0.00714653j -0.0094671+0.0104813j -0.0204281+0.0377677j -0.0152809+0.0162931j 0.020689+0.00790567j -0.0194178-0.00945616j -0.0299717+0.00668579j -0.0284941-0.0053313j 0.0338661-0.0117433j -0.0109982+0.0372275j -0.0113381+0.0223345j 0.000228444+0.00610364j 0.0206333+0.00394312j -0.0093752+0.00824167j 0.0163507-0.00846144j -0.015262-0.0175791j -0.0249056+0.0135376j 0.0124712-0.0150693j 0.000491704-0.0142772j 0.0354488+0.00616935j 0.0104708-0.0136246j -0.0151115-0.00279887j -0.00759949+0.00529697j 0.0208203-0.0137154j 0.00916722-0.00814699j -0.010828-0.00843498j 0.0138579-0.0050465j -0.00912242+0.025248j -0.0038457-0.022094j 0.0434778-0.0278483j 0.0119373-0.00636552j -0.0153352+0.00699111j -0.00774591+0.0117166j 0.0327566-0.00887053j -0.0142222+0.0135161j -0.0220258+0.00708559j 0.023898-0.0280751j -0.0111117+0.0295109j 0.0242335+0.00852396j -0.0138441+0.000654484j 0.00326582+0.0334494j -0.0427632+0.00858249j -0.0162896-0.011433j 0.0087915+0.00480619j -0.00562814-0.00806481j 0.0117163+0.00422633j 0.0123078+0.00981981j 0.0113056+0.0339357j -0.0115633+0.00787154j -0.00620832-0.00542369j 0.0175568+0.00721176j 0.0108824-0.00641486j -0.0181834-0.000748682j 0.0344401+0.0187583j -0.0137472+0.0372049j 0.0526419-0.0170926j 0.0131192-0.0111509j 0.00394362+0.0141694j -0.071913+0.00477556j -0.00523058+0.00851168j -0.0129031-0.0373869j -0.00231791+0.00845978j 
0.0584489+0.115893j 0.114936+0.0110276j 0.048234-0.0281711j -0.103513+0.0765773j -0.0263094+0.0336972j -0.0178461-0.0627296j 0.0287562-0.0236136j -0.0667736-0.0345728j 0.0995671+0.00165412j -0.0285714+0.0518317j -0.00793816-0.0198641j 0.0145719+0.00986143j 0.0103765+0.0990708j -0.0734149-0.0242701j -0.104954+0.0218059j 0.0148395-0.0306584j -0.0177088-0.0353077j -0.0264755-0.0927973j -0.030365-0.0396382j -0.110718+0.0407815j -0.0773463+0.0307845j -0.0681214-0.0766554j 0.0581971-0.018783j 0.0552179-0.0773839j -0.0434876+0.00482454j -0.0222177+0.0367303j -0.0332189+0.00482873j -0.0442738-0.0184251j -0.0536855+0.003842j 0.0196063-0.0191949j -0.0157373+0.0092084j 0.0500995+0.00140082j 0.030695-0.0479131j -0.00650443+0.0421571j 0.0361938+0.00340711j 0.0118424+0.00494013j 0.00969675-0.0605911j 0.00676095+0.00364655j -0.0214036-0.0213826j -0.0165767-0.0311828j -0.00425943+0.000249292j 0.00782665-0.00750391j 0.0509698-0.0496979j 0.0024356-0.0277182j -0.00888575+0.00632294j -0.0112834+0.0240813j -0.017861-0.019472j -0.0180058-0.0138931j 0.0102109+0.0158183j -0.00725495+0.00283699j -0.0194821+0.0137453j -0.0167161+0.00241342j 0.0289551-0.0146274j -0.0288382+0.0158927j 0.0307252+0.0259353j -0.00407673-0.00780115j -0.000898365+0.0360514j -0.0119612+0.00410349j -0.0238725+0.0326782j -0.0121292+0.0248197j 0.00131278+0.0140135j -0.0122715+0.0275292j -0.0117927-0.0272473j 0.0105341+0.0479449j 0.0467449+0.00558077j 0.0377118-0.017877j 0.00717598-0.0146678j -0.00190799-0.000337153j 0.00170163+0.000865833j -0.0255608-0.0174881j -0.0502006-0.00568634j 0.0109079-0.0231996j -0.018887+0.00979957j 0.0238576+0.015707j -0.0245061-0.00700329j -0.0357294+0.0165005j 0.0162573+0.0196597j -0.0407964-0.000844903j 0.00382516+0.0170231j -0.0306238-0.00364994j 0.0597253+0.00494309j -0.0167778+0.0222054j 0.0148571+0.0173984j -0.0105527-0.00789578j -0.00284995-0.00330503j 0.0042783+0.0297088j 0.0436867+0.0289374j -0.00674548-0.0146633j -0.0464298+0.0153227j -0.037925-0.00351095j -0.000326708-0.00418425j -0.00333612-0.0108115j 0.00685626+0.0114565j -0.0371743-0.00432028j 0.0476707+0.0326506j 
0.11712+0.0200942j -0.0813815-0.109605j -0.0504257+0.0832677j -0.0640448+0.00454671j 0.0463102+0.052704j -0.026746+0.0379512j -0.0029806+0.0284514j -0.0689444-0.0316243j -0.0475296-0.022652j -0.0374764-0.0376244j -0.0210418+0.0182908j 0.0561108+0.0518458j 0.0707173-0.0152213j -0.0572921+0.0446782j 0.0797075+0.0913159j -0.0341933+0.0307359j -0.0433917+0.0446837j -0.111395-0.00962005j -0.0334311+0.0215678j -0.000984728+0.0644955j -0.00298389+0.0234493j -0.0235007+0.0388127j -0.0352443-0.0376484j -0.0793198-0.0129959j -0.0153618-0.0608808j -0.0325706-0.0348896j -0.0152264+0.0260799j 0.009118+0.0357215j -0.056166+0.000161226j -0.0357397-0.02955j -0.00794366+0.0360719j -0.052161-0.034626j 0.0449758+0.0338326j 0.0304367+0.0114624j 0.0501643+0.00971873j 0.0324888+0.0151139j -0.0219575+0.0358463j 0.0269324+0.0159923j -0.0595901-0.00686234j -0.0192909+0.0191449j -0.0703304-0.036215j -0.0106144+0.0147067j 0.0110158+0.00694327j -0.00298865+0.0151513j -0.01127-0.00628143j 0.0195261+0.00665097j 0.00157322+0.033928j -0.0409044-0.00493308j 0.00615159-0.00797241j -0.00651776-0.0110502j -0.0229834-0.00936036j -0.0138125+0.0115976j 0.0253655-0.00685227j -0.0335658-0.0221019j -0.0117473-0.00709136j 0.0118078-0.000226313j 0.0224867-0.0320798j 0.0307261-0.0163175j -0.0169494+0.0190089j -0.00755133-0.00776055j 0.0221341+0.0165163j -0.0365688-0.00143377j -0.00286959+0.00586486j 0.00316854-0.0207139j 0.00275494-0.0134095j -0.00783117+0.00279627j 0.000911434-0.00926613j 0.0198271+0.0195703j 0.00455674+0.00311162j -0.0105855-0.0175113j 0.00204523+0.0209831j 0.0410555-0.020979j 0.0140157+0.0138146j 0.00420819+0.00925783j 0.00197062+0.0081942j -0.00821745+0.000890599j 0.002456+0.0221333j 0.0155099+0.0103207j 0.0272812-0.0121017j 0.0324057-0.00760243j 0.0432483+0.0119277j 0.0362912+0.0275718j -0.0487714+0.00679556j -0.00645671-0.0199151j -0.00246156-0.00261439j -0.0160318+0.0213957j 0.0297299+0.00517162j 0.0470084+0.0184594j 0.00965239-0.00834881j 0.00264363-0.00758563j 0.0214673+0.00658426j -0.0104759+0.0107635j 0.032868+0.0124553j -0.0418487-0.0342671j -0.0328392+0.002118j 
